add-none,2,100,400,93412,233,0
add-none,2,1000,4000,102325,25,0
add-none,2,10000,40000,499660,12,-1369
add-none,2,100000,400000,3970977,9,-6
add-none,4,100,800,89959,112,65
add-none,4,1000,8000,127983,15,1719
add-none,4,10000,80000,962312,12,1060
add-none,4,100000,800000,9025918,11,-26366
add-none,8,100,1600,218303,136,100
add-none,8,1000,16000,284137,17,583
add-none,8,10000,160000,2053592,12,2849
add-none,8,100000,1600000,20204284,12,-17652
add-none,12,100,2400,284796,118,0
add-none,12,1000,24000,362518,15,821
add-none,12,10000,240000,3088761,12,-2702
add-none,12,100000,2400000,30339741,12,-50381
add-yield-none,2,10,40,68640,1716,0
add-yield-none,4,10,80,111211,1390,0
add-yield-none,8,10,160,233226,1457,8
add-yield-none,12,10,240,351281,1463,0
add-yield-none,2,20,80,72112,901,0
add-yield-none,4,20,160,99190,619,24
add-yield-none,8,20,320,235847,737,46
add-yield-none,12,20,480,346506,721,20
add-yield-none,2,40,160,91227,570,-23
add-yield-none,4,40,320,137816,430,8
add-yield-none,8,40,640,283006,442,105
add-yield-none,12,40,960,348079,362,52
add-yield-none,2,80,320,117856,368,-14
add-yield-none,4,80,640,173059,270,112
add-yield-none,8,80,1280,234091,182,48
add-yield-none,12,80,1920,344608,179,168
add-yield-none,2,100,400,123872,309,-6
add-yield-none,4,100,800,163535,204,73
add-yield-none,8,100,1600,261291,163,20
add-yield-none,12,100,2400,344847,143,202
add-yield-none,2,1000,4000,766030,191,-12
add-yield-none,4,1000,8000,830011,103,210
add-yield-none,8,1000,16000,1159852,72,-191
add-yield-none,12,1000,24000,2686829,111,808
add-yield-none,2,10000,40000,7238331,180,-418
add-yield-none,4,10000,80000,7178659,89,-781
add-yield-none,8,10000,160000,10631577,66,-391
add-yield-none,12,10000,240000,14908532,62,-4422
add-yield-none,2,100000,400000,55935681,139,-247
add-yield-none,4,100000,800000,70573325,88,-4539
add-yield-none,8,100000,1600000,102044257,63,-12441
add-yield-none,12,100000,2400000,144022923,60,-12727
add-none,1,100,200,53865,269,0
add-none,1,1000,2000,67794,33,0
add-none,1,10000,20000,194248,9,0
add-none,1,100000,200000,1557327,7,0
add-none,1,1000000,2000000,14845405,7,0
add-none,2,100,400,67001,167,0
add-none,2,1000,4000,119974,29,473
add-none,2,10000,40000,535865,13,2209
add-none,2,100000,400000,4200950,10,-21322
add-none,2,1000000,4000000,43971515,10,2977
add-none,4,100,800,97377,121,0
add-none,4,1000,8000,117062,14,-109
add-none,4,10000,80000,1070735,13,1331
add-none,4,100000,800000,11126751,13,-27362
add-none,4,1000000,8000000,88490484,11,-293448
add-yield-none,1,100,200,129401,647,0
add-yield-none,1,1000,2000,562071,281,0
add-yield-none,1,10000,20000,4949001,247,0
add-yield-none,1,100000,200000,48179547,240,0
add-yield-none,1,1000000,2000000,481658714,240,0
add-yield-none,2,100,400,158003,395,38
add-yield-none,2,1000,4000,768965,192,-10
add-yield-none,2,10000,40000,7121064,178,-141
add-yield-none,2,100000,400000,69550416,173,-1448
add-yield-none,2,1000000,4000000,664311732,166,-13235
add-yield-none,4,100,800,173531,216,130
add-yield-none,4,1000,8000,811628,101,19
add-yield-none,4,10000,80000,6856835,85,268
add-yield-none,4,100000,800000,70572934,88,113
add-yield-none,4,1000000,8000000,701089159,87,-11339
add-yield-m,2,10000,40000,17654608,441,0
add-yield-m,4,10000,80000,60261841,753,0
add-yield-m,8,10000,160000,184132232,1150,0
add-yield-m,12,10000,240000,268714775,1119,0
add-yield-c,2,10000,40000,1180313,29,0
add-yield-c,4,10000,80000,6177303,77,0
add-yield-c,8,10000,160000,30273939,189,0
add-yield-c,12,10000,240000,39184960,163,0
add-yield-s,2,10000,40000,14555886,363,0
add-yield-s,4,10000,80000,37478520,468,0
add-yield-s,8,1000,16000,17317364,1082,0
add-yield-s,12,1000,24000,36276635,1511,0
add-m,1,10000,20000,715486,35,0
add-m,2,10000,40000,9728669,243,0
add-m,4,10000,80000,16082280,201,0
add-m,8,10000,160000,26749449,167,0
add-m,12,10000,240000,37073062,154,0
add-c,1,10000,20000,475583,23,0
add-c,2,10000,40000,3366441,84,0
add-c,4,10000,80000,7505878,93,0
add-c,8,10000,160000,15731692,98,0
add-c,12,10000,240000,26798201,111,0
add-s,1,10000,20000,301311,15,0
add-s,2,10000,40000,3165989,79,0
add-s,4,10000,80000,14150387,176,0
add-s,8,10000,160000,48708200,304,0
add-s,12,10000,240000,97384610,405,0
