add-m,1,10000,20000,781234,39,0
add-m,2,10000,40000,2431319,60,0
add-m,4,10000,80000,15153753,189,0
add-m,8,10000,160000,26913599,168,0
add-m,12,10000,240000,34585622,144,0
add-s,1,10000,20000,342845,17,0
add-s,2,10000,40000,2284932,57,0
add-s,4,10000,80000,15829731,197,0
add-s,8,10000,160000,55157332,344,0
add-s,12,10000,240000,119449638,497,0
List-none-m,1,1000,1,3000,3801396,1267,22
List-none-m,2,1000,1,6000,21876800,3646,3198
List-none-m,4,1000,1,12000,91945424,7662,40681
List-none-m,8,1000,1,24000,339094906,14128,121769
List-none-m,12,1000,1,36000,903674489,25102,299430
List-none-m,16,1000,1,48000,1840647106,38346,584319
List-none-m,24,1000,1,72000,4330056125,60139,1314465
List-none-s,1,1000,1,3000,3679518,1226
List-none-s,2,1000,1,6000,8979748,1496
List-none-s,4,1000,1,12000,58838444,4903
List-none-s,8,1000,1,24000,181794016,7574
List-none-s,12,1000,1,36000,441108924,12253
List-none-s,16,1000,1,48000,1074525211,22385
List-none-s,24,1000,1,72000,2280039650,31667
List-id-none,1,1,4,3,137407,45802
List-id-none,1,2,4,6,93353,15558
List-id-none,1,4,4,12,93765,7813
List-id-none,1,8,4,24,96762,4031
List-id-none,1,16,4,48,101325,2110
List-id-none,4,1,4,12,176957,14746
List-id-none,4,2,4,24,169618,7067
List-id-none,4,4,4,48,169225,3525
List-id-none,8,1,4,24,289913,12079
List-id-none,8,2,4,48,223062,4647
List-id-none,8,8,4,192,245534,1278
List-id-none,12,1,4,36,372300,10341
List-id-none,12,2,4,72,291422,4047
List-id-none,12,4,4,144,370035,2569
List-id-none,16,1,4,48,382654,7971
List-id-none,16,2,4,96,323236,3367
List-id-none,16,4,4,192,363480,1893
List-id-none,16,8,4,384,386242,1005
List-id-s,1,10,4,30,72071,2402
List-id-s,1,20,4,60,103038,1717
List-id-s,1,40,4,120,121746,1014
List-id-s,1,80,4,240,122231,509
List-id-s,4,10,4,120,161216,1343
List-id-s,4,20,4,240,220410,918
List-id-s,4,40,4,480,287341,598
List-id-s,4,80,4,960,568932,592
List-id-s,8,10,4,240,239171,996
List-id-s,8,20,4,480,273883,570
List-id-s,8,40,4,960,570576,594
List-id-s,8,80,4,1920,1413268,736
List-id-s,12,10,4,360,307343,853
List-id-s,12,20,4,720,324361,450
List-id-s,12,40,4,1440,799712,555
List-id-s,12,80,4,2880,2282590,792
List-id-s,16,10,4,480,484360,1009
List-id-s,16,20,4,960,446664,465
List-id-s,16,40,4,1920,1394845,726
List-id-s,16,80,4,3840,3934706,1024
List-id-m,1,10,4,30,131599,4386,76
List-id-m,1,20,4,60,123270,2054,35
List-id-m,1,40,4,120,139606,1163,20
List-id-m,1,80,4,240,163195,679,11
List-id-m,4,10,4,120,162831,1356,7199
List-id-m,4,20,4,240,238197,992,5267
List-id-m,4,40,4,480,372008,775,4114
List-id-m,4,80,4,960,750915,782,4152
List-id-m,8,10,4,240,223142,929,8007
List-id-m,8,20,4,480,388081,808,6964
List-id-m,8,40,4,960,692462,721,6214
List-id-m,8,80,4,1920,1623915,845,7283
List-id-m,12,10,4,360,338950,941,11224
List-id-m,12,20,4,720,623006,865,10318
List-id-m,12,40,4,1440,1179897,819,9769
List-id-m,12,80,4,2880,2997256,1040,12405
List-id-m,16,10,4,480,443926,924,14079
List-id-m,16,20,4,960,711981,741,11291
List-id-m,16,40,4,1920,1706296,888,13531
List-id-m,16,80,4,3840,4326322,1126,17158
List-none-m,1,1000,4,3000,1235106,411,7
List-none-m,1,1000,8,3000,806769,268,4
List-none-m,1,1000,16,3000,602881,200,3
List-none-m,2,1000,4,6000,9419939,1569,1376
List-none-m,2,1000,8,6000,6143480,1023,897
List-none-m,2,1000,16,6000,4251783,708,621
List-none-m,4,1000,4,12000,21734598,1811,9615
List-none-m,4,1000,8,12000,12089005,1007,5346
List-none-m,4,1000,16,12000,7540981,628,3334
List-none-m,8,1000,4,24000,69777027,2907,25055
List-none-m,8,1000,8,24000,32437059,1351,11644
List-none-m,8,1000,16,24000,17886304,745,6421
List-none-m,12,1000,4,36000,164302204,4563,54430
List-none-m,12,1000,8,36000,73420457,2039,24322
List-none-m,12,1000,16,36000,40967848,1137,13562
List-none-s,1,1000,4,3000,1071969,357
List-none-s,1,1000,8,3000,652068,217
List-none-s,1,1000,16,3000,445563,148
List-none-s,2,1000,4,6000,11580351,1930
List-none-s,2,1000,8,6000,6735761,1122
List-none-s,2,1000,16,6000,4220188,703
List-none-s,4,1000,4,12000,23943389,1995
List-none-s,4,1000,8,12000,13200829,1100
List-none-s,4,1000,16,12000,8429432,702
List-none-s,8,1000,4,24000,61202251,2550
List-none-s,8,1000,8,24000,27671864,1152
List-none-s,8,1000,16,24000,15726991,655
List-none-s,12,1000,4,36000,132638069,3684
List-none-s,12,1000,8,36000,57106742,1586
List-none-s,12,1000,16,36000,33095472,919
